SATKER,DINAS KESEHATANANY,,,,,,,,,,,,
Nama Barang,ANY,,,,,,,,,,,,
,,,,,,,,,,,,,
Provinsi,Kota,SATKER,SKPD,Gudang,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,10597,76.,2020-07-22,Bak Cuci Tangan,Buah,11,35000,385000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,11167,78.,2020-07-22,Cairan Disenfektan,liter,2,50000,100000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,5759,81.,2020-07-22,Conditioner,Botol,3,30000,90000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,5759,82.,2020-07-22,Conditioner,Botol,20,30000,600000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,5759,83.,2020-09-28,Conditioner,Botol,11,30000,330000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,3660,86.,2020-09-28,Handuk Kecil (Kebersihan),Buah,16,50000,800000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,18153,87.,2020-07-22,KANEBO,Buah,1,30000,30000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,18153,88.,2020-07-22,KANEBO,Buah,3,30000,90000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,18153,89.,2020-09-28,KANEBO,Buah,1,30000,30000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,15105,90.,2020-07-22,KANTONG PLASTIK SAMPAH,Buah,380,4000,1520000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,15105,91.,2020-09-28,KANTONG PLASTIK SAMPAH,Buah,47,4000,188000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,9023,93.,2020-07-22,Kastok Dinding,Buah,1,30000,30000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,12515,95.,2020-09-28,Mangkok ( Pembersih ),lusin,2,50000,100000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,119,96.,2020-09-28,Pengharum Ruangan,Buah,18,15000,270000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,9870,97.,2020-09-28,Piring Plastik (Kebersihan),lusin,2,50000,100000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,8715,98.,2020-09-28,Plastik Sampah (pcs),pcs,610,2000,1220000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,18021,99.,2020-09-09,SABUN CAIR LIFEBOY,Botol,6,20000,120000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,18021,100.,2020-09-28,SABUN CAIR LIFEBOY,Botol,42,20000,840000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,9000,101.,2020-09-28,SEndok,Buah,39,2500,97500
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,6266,102.,2020-09-28,SHampo,Botol,29,20000,580000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,1098,103.,2020-09-09,SOS Pembersih Lantai,Buah,5,25000,125000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,1098,104.,2020-09-28,SOS Pembersih Lantai,Buah,18,25000,450000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,1115,108.,2020-09-28,Sandal jepit,Buah,16,10000,160000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,2170,110.,2020-07-22,Sapu Pel Besar,Buah,6,30000,180000
Kalimantan Selatan,Banjarbaru,DINAS KESEHATAN,DINAS KESEHATAN,BTT Pemerintah Kota (Covid19),Peralatan Kebersihan dan Bahan Pembersih,2170,111.,2020-09-28,Sapu Pel Besar,Buah,3,30000,90000
