SATKER,RSD IDAMAN KOTA BANJARBARU (BLUD)ANY,,,,,,,,,,,,
Nama Barang,ANY,,,,,,,,,,,,
,,,,,,,,,,,,,
Provinsi,Kota,SATKER,SKPD,Gudang,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,13785,1.,2020-07-16,Bak stempel,Buah,3,10000,30000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,29,2.,2020-10-06,Ballpoint,Buah,40,7500,300000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,21613,3.,2020-10-06,Ballpoint Tebal,Buah,21,19000,399000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,64,4.,2020-10-06,Buku Folio,Buah,25,23000,575000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,17796,5.,2020-10-06,CONTINUOS FORM 3 PLY,kotak,2,480000,960000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,17798,6.,2020-10-06,CONTINUOUS FORM 4PLY,kotak,2,295000,590000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,1398,7.,2020-10-06,Isi Stapler Kecil,Buah,25,3000,75000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,1992,8.,2020-10-06,Isolasi (atk),Buah,8,5500,44000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,4076,9.,2020-10-06,Kertas HVS A4,Rim,8,52500,420000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,4078,10.,2020-10-06,Kertas HVS F4,Rim,15,55000,825000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,13079,11.,2020-10-06,Kertas Thermal,roll,13,26500,344500
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,17801,12.,2020-10-06,LAKBAN PUTIH BENING,Buah,7,15000,105000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,1456,13.,2020-10-06,Lakban,Buah,15,19500,292500
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,15227,14.,2020-10-06,PAPER CLIP KECIL,kotak,30,4500,135000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,13055,15.,2020-10-06,Paper clip besar,kotak,7,7000,49000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,2128,16.,2020-10-06,Refill tinta printer hitam,Buah,7,68000,476000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,2131,17.,2020-10-06,Refill tinta printer warna,Buah,9,68000,612000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,17736,18.,2020-10-06,TINTA REFILL EPSON HITAM,Botol,3,135000,405000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,17747,19.,2020-10-06,TINTA REFILL EPSON WARNA,Botol,3,135000,405000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Alat Tulis Kantor,17803,20.,2020-10-06,TINTA STEMPEL,Botol,3,35000,105000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Peralatan Kebersihan dan Bahan Pembersih,22173,21.,2020-10-07,Detergen Cuci Pakaian Besar,kotak,10,38000,380000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Peralatan Kebersihan dan Bahan Pembersih,3610,22.,2020-10-07,Kantong Plastik Sampah Besar,Pak,7,60000,420000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Peralatan Kebersihan dan Bahan Pembersih,22172,23.,2020-10-07,SABUN CUCI TANGAN BESAR,Buah,5,230000,1150000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Peralatan dan Perlengkapan Komputer,22432,24.,2020-12-03,BAREL LAN,Buah,35,12000,420000
Kalimantan Selatan,Banjarbaru,RSD IDAMAN KOTA BANJARBARU (BLUD),RSD IDAMAN KOTA BANJARBARU,Umum,Peralatan dan Perlengkapan Komputer,8894,25.,2020-11-11,Catridge 746,Buah,1,350000,350000
